shipment_id,carrier,route_miles,weather_delay,hub,delayed
176,D,47,0,B,1
177,B,23,0,C,0
178,B,23,0,A,0
179,B,34,1,D,1
180,A,36,0,D,1
181,B,35,1,B,1
182,B,21,1,A,0
183,C,58,1,B,1
184,D,28,1,A,0
185,B,11,1,A,0
186,B,25,1,C,0
187,D,10,1,D,0
188,B,56,0,D,1
189,D,46,0,D,1
190,A,31,0,A,0
191,B,13,0,D,0
192,C,28,0,B,0
193,D,4,0,A,0
194,B,39,0,A,1
195,D,51,1,D,1
196,C,59,0,D,1
197,D,9,0,B,0
198,C,37,1,D,1
199,B,56,1,D,1
200,C,8,0,B,0
201,C,22,1,C,0
202,C,2,0,C,0
203,C,54,1,C,1
204,D,48,0,B,1
205,D,19,1,D,0
206,B,2,1,C,0
207,D,45,1,A,1
208,C,38,0,D,1
209,B,8,1,B,0
210,C,48,1,A,1
211,D,52,0,C,1
212,C,13,0,A,0
213,A,18,0,A,0
214,C,3,1,D,0
215,B,15,1,B,0
216,D,2,1,C,0
217,A,59,0,A,1
218,B,5,0,D,0
219,B,1,0,D,0
220,A,22,0,D,0
221,D,30,0,A,0
222,B,22,0,A,0
223,C,40,1,A,1
224,B,31,1,A,0
225,A,42,1,B,1
226,B,14,1,C,0
227,B,53,0,C,1
228,C,11,1,D,0
229,C,28,0,D,0
230,A,12,1,B,0
231,A,3,1,C,0
232,C,41,0,A,1
233,D,45,1,C,1
234,D,15,1,B,0
235,D,29,0,C,0
236,D,43,0,C,1
237,A,54,0,A,1
238,A,47,0,D,1
239,A,16,1,D,0
240,A,49,1,C,1
241,D,23,0,D,0
242,D,54,0,C,1
243,C,41,1,C,1
244,A,51,1,C,1
245,D,11,0,D,0
246,D,57,0,B,1
247,A,14,1,B,0
248,B,19,1,C,0
249,A,34,0,C,1
250,B,22,0,B,0
251,C,8,1,C,0
252,C,33,1,D,1
253,B,26,0,A,0
254,C,10,1,D,0
255,A,36,1,B,1
256,A,45,0,D,1
257,C,59,1,A,1
258,B,59,0,B,1
259,D,51,0,D,1
260,B,33,0,A,1
261,A,41,1,C,1
262,A,50,0,A,1
263,B,30,1,B,0
264,C,44,0,D,1
265,C,43,1,D,1
266,C,47,1,A,1
267,B,6,1,D,0
268,A,31,1,D,1
269,A,20,0,C,0
270,D,33,1,D,1
271,D,7,0,C,0
272,D,19,0,C,0
273,A,3,1,B,0
274,D,20,1,A,0
275,D,44,0,D,1
276,B,53,0,B,1
277,D,3,1,B,0
278,B,37,1,B,1
279,B,46,0,D,1
280,D,54,1,D,1
281,B,56,1,A,1
282,B,22,1,B,0
283,C,38,1,A,1
284,C,6,0,D,0
285,C,13,1,B,0
286,C,18,0,D,0
287,A,34,0,B,1
288,C,3,0,B,0
289,D,37,1,A,1
290,B,5,1,C,0
291,C,46,1,D,1
292,A,51,0,D,1
293,B,43,1,A,1
294,D,23,0,D,0
295,B,12,1,B,0
296,B,12,0,C,0
297,B,30,0,C,0
298,D,34,1,B,1
299,D,41,0,B,1
300,D,15,0,B,0
301,C,52,1,B,1
302,B,51,1,B,1
303,C,55,0,A,1
304,B,35,1,A,1
305,D,23,0,A,0
306,C,53,1,B,1
307,B,24,0,C,0
308,B,45,1,D,1
309,D,44,0,B,1
310,B,33,1,B,1
311,C,2,1,D,0
312,B,13,0,B,0
313,A,24,0,B,0
314,A,58,1,C,1
315,D,27,0,D,0
316,D,18,1,B,0
317,C,34,1,A,1
318,A,22,0,B,0
319,C,38,1,C,1
320,D,33,1,B,1
321,B,4,1,A,0
322,D,38,1,C,1
323,B,30,1,A,0
324,A,16,0,D,0
325,D,28,1,C,0
326,A,42,1,D,1
327,C,6,0,C,0
328,B,49,0,A,1
329,B,43,1,A,1
330,B,54,1,C,1
331,A,1,1,D,0
332,C,22,0,D,0
333,D,18,0,D,0
334,A,28,1,A,0
335,D,18,1,A,0
336,B,15,0,C,0
337,B,41,0,C,1
338,B,11,0,C,0
339,D,41,0,B,1
340,A,23,0,D,0
341,C,2,1,C,0
342,D,6,0,C,0
343,C,59,1,B,1
344,D,21,1,B,0
345,B,1,1,B,0
346,A,7,1,A,0
347,D,44,0,A,1
348,C,56,0,B,1
349,C,54,1,B,1
350,D,44,0,A,1
351,A,5,0,B,0
352,B,11,1,B,0
353,A,31,1,B,1
354,B,30,1,D,0
355,D,2,0,C,0
356,A,26,1,C,0
357,D,54,0,C,1
358,B,9,1,B,0
359,B,41,1,C,1
360,A,6,1,D,0
361,B,5,1,C,0
362,A,38,0,B,1
363,B,2,0,C,0
364,B,36,0,D,1
365,B,48,1,C,1
366,D,52,0,D,1
367,C,23,0,C,0
368,D,26,1,B,0
369,B,35,1,A,1
370,C,43,1,B,1
371,D,34,0,A,1
372,A,38,0,A,1
373,C,22,0,B,0
374,C,19,1,A,0
375,A,32,1,A,1
376,D,19,0,B,0
377,B,32,1,B,1
378,A,34,0,A,1
379,B,5,0,D,0
380,C,12,1,A,0
381,B,51,0,D,1
382,A,18,1,C,0
383,D,4,0,C,0
384,C,37,0,B,1
385,C,10,1,C,0
386,A,40,0,A,1
387,B,38,1,C,1
388,B,46,1,C,1
389,A,21,1,D,0
390,A,37,0,A,1
391,B,24,1,B,0
392,A,57,1,B,1
393,B,26,0,D,0
394,D,8,0,A,0
395,C,22,1,B,0
396,B,17,1,C,0
397,A,36,1,B,1
398,D,44,1,B,1
399,D,51,1,B,1
400,C,32,0,A,0
401,D,17,1,A,0
402,D,47,0,C,1
403,D,57,0,A,1
404,B,9,0,C,0
405,A,59,0,D,1
406,A,27,1,D,0
407,A,32,1,C,1
408,A,26,1,A,0
409,C,48,0,A,1
410,D,36,0,B,1
411,B,20,1,A,0
412,D,22,1,D,0
413,D,24,1,D,0
414,D,56,0,A,1
415,A,53,1,D,1
416,A,51,0,B,1
417,D,58,0,C,1
418,A,45,0,D,1
419,D,14,1,C,0
420,D,40,0,C,1
421,A,40,1,D,1
422,C,53,1,B,1
423,D,28,0,B,0
424,B,38,1,C,1
425,A,26,1,A,0
426,A,3,1,D,0
427,B,59,1,D,1
428,A,4,1,D,0
429,D,13,1,A,0
430,A,46,1,D,1
431,D,50,1,C,1
432,B,28,1,D,0
433,D,17,0,C,0
434,B,23,0,D,0
435,C,12,0,D,0
436,D,44,1,D,1
437,A,44,0,A,1
438,A,33,0,B,1
439,A,27,0,D,0
440,A,15,0,D,0
441,D,13,0,C,0
442,B,53,0,A,1
443,D,11,1,A,0
444,C,47,1,C,1
445,D,10,0,D,0
446,B,42,0,A,1
447,A,10,1,C,0
448,A,8,0,D,0
449,D,26,1,C,0
450,D,47,0,B,1
451,B,14,1,B,0
452,D,4,1,A,0
453,C,37,1,A,1
454,C,52,0,C,1
455,D,34,0,A,1
456,D,45,1,A,1
457,A,55,1,D,1
458,B,35,0,D,1
459,D,5,0,C,0
460,C,13,1,B,0
461,D,51,0,B,1
462,C,19,1,C,0
463,B,30,0,C,0
464,D,41,1,C,1
465,A,25,0,A,0
466,B,50,1,D,1
467,C,45,0,A,1
468,C,40,1,A,1
469,C,35,1,B,1
470,A,33,1,A,1
471,C,50,0,B,1
472,C,5,0,A,0
473,D,40,0,D,1
474,B,53,0,B,1
475,D,18,0,B,0
476,A,17,0,A,0
477,B,32,0,D,0
478,C,21,0,A,0
479,A,17,1,C,0
480,A,24,1,D,0
481,C,16,1,A,0
482,A,12,1,A,0
483,C,23,0,D,0
484,A,52,1,A,1
485,C,58,0,A,1
486,D,15,0,A,0
487,C,23,0,C,0
488,A,31,0,B,0
489,B,22,0,A,0
490,B,2,1,B,0
491,B,29,1,C,0
492,C,57,0,D,1
493,A,26,1,D,0
494,B,31,0,A,0
495,D,59,1,A,1
496,B,26,1,D,0
497,D,4,1,A,0
498,A,38,1,B,1
499,D,27,1,A,0
500,D,48,0,C,1
501,C,25,0,A,0
502,A,55,1,A,1
503,D,19,0,B,0
504,D,16,0,D,0
505,B,8,0,D,0
506,D,32,0,A,1
507,B,6,1,B,0
508,B,31,0,C,0
509,D,27,1,B,0
510,C,3,1,D,0
511,C,29,0,D,0
512,A,29,1,C,0
513,A,36,1,A,1
514,C,28,0,D,0
515,B,55,0,B,1
516,D,46,0,D,1
517,A,35,0,A,1
518,C,45,0,D,1
519,D,56,0,D,1
520,C,34,0,D,1
521,A,1,1,A,0
522,C,3,0,B,0
523,C,57,1,D,1
524,B,42,0,A,1
525,C,55,1,C,1
526,D,20,1,A,0
527,B,29,1,B,0
528,C,24,1,B,0
529,C,16,1,B,0
530,B,48,0,D,1
531,A,18,0,D,0
532,D,33,1,D,1
533,B,15,0,D,0
534,B,57,1,A,1
535,B,29,0,C,0
536,A,36,1,D,1
537,B,2,0,C,0
538,C,24,0,B,0
539,B,25,1,C,0
540,D,6,1,B,0
541,A,49,0,D,1
542,B,24,0,D,0
543,D,49,1,A,1
544,D,49,0,A,1
545,D,14,1,D,0
546,B,16,0,A,0
547,D,46,0,B,1
548,C,22,1,A,0
549,C,49,0,C,1
550,C,35,1,B,1
551,A,53,0,B,1
552,A,47,1,C,1
553,B,9,0,C,0
554,B,17,1,B,0
555,A,55,1,A,1
556,C,42,1,B,1
557,C,35,1,D,1
558,A,22,0,C,0
559,A,29,1,B,0
560,D,4,1,A,0
561,C,53,0,A,1
562,B,30,0,D,0
563,A,28,0,B,0
564,B,43,1,D,1
565,A,46,0,D,1
566,A,26,0,A,0
567,D,37,0,B,1
568,D,56,1,C,1
569,D,7,0,B,0
570,A,50,0,A,1
571,B,57,1,A,1
572,B,18,0,C,0
573,D,46,0,D,1
574,D,30,0,A,0
575,A,10,1,B,0
576,D,1,1,B,0
577,A,44,1,A,1
578,C,14,0,D,0
579,B,13,0,C,0
580,A,28,1,A,0
581,B,19,0,B,0
582,A,11,0,A,0
583,A,19,0,C,0
584,D,7,1,B,0
585,B,7,0,B,0
586,D,20,1,D,0
587,C,5,1,A,0
588,D,34,1,A,1
589,D,59,0,B,1
590,A,24,0,B,0
591,B,39,1,D,1
592,C,38,0,C,1
593,A,38,0,D,1
594,D,4,0,D,0
595,A,26,0,A,0
596,D,34,0,C,1
597,B,6,1,B,0
598,D,3,0,A,0
599,D,36,0,D,1
600,D,46,0,C,1
601,C,16,0,D,0
602,B,19,0,B,0
603,B,21,0,D,0
604,C,4,1,B,0
605,D,24,0,D,0
606,D,16,1,A,0
607,D,11,0,C,0
608,C,38,0,A,1
609,A,51,1,C,1
610,C,40,0,C,1
611,B,35,1,B,1
612,A,57,0,D,1
613,B,27,1,A,0
614,D,26,0,A,0
615,D,19,1,B,0
616,D,31,1,D,1
617,C,41,0,B,1
618,A,14,0,D,0
619,C,7,0,C,0
620,C,23,1,B,0
621,A,38,0,D,1
622,D,27,0,A,0
623,C,17,1,D,0
624,C,12,1,C,0
625,A,13,1,A,0
626,B,32,0,B,0
627,C,31,0,B,0
628,B,27,1,C,0
629,C,11,0,A,0
630,D,53,1,A,1
631,D,53,1,D,1
632,D,53,1,B,1
633,D,48,1,B,1
634,C,51,1,A,1
635,A,59,1,A,1
636,B,10,0,D,0
637,C,35,0,B,1
638,D,42,1,C,1
639,D,42,1,C,1
640,A,18,1,C,0
641,A,51,0,C,1
642,B,12,0,D,0
643,C,3,0,A,0
644,C,3,0,A,0
645,B,56,0,B,1
646,D,8,0,C,0
647,B,19,1,B,0
648,A,38,0,A,1
649,A,14,1,B,0
650,D,29,1,A,0
651,C,31,1,D,0
652,D,43,1,C,1
653,B,23,1,B,0
654,C,22,0,D,0
655,D,12,1,A,0
656,C,25,0,D,0
657,D,40,1,A,1
658,D,53,0,D,1
659,C,37,0,B,1
660,C,30,1,B,0
661,A,11,1,A,0
662,C,55,0,A,1
663,A,3,1,A,0
664,A,33,0,C,1
665,A,27,0,B,0
666,B,12,1,A,0
667,D,40,1,B,1
668,A,56,0,D,1
669,A,4,0,B,0
670,A,56,0,D,1
671,B,24,1,D,0
672,D,24,1,D,0
673,C,41,1,D,1
674,A,32,1,C,1
675,B,44,1,B,1
676,B,28,1,A,0
677,D,37,0,D,1
678,B,32,1,C,1
679,D,26,0,A,0
680,C,11,0,C,0
681,C,1,0,D,0
682,A,30,1,C,0
683,C,27,0,B,0
684,D,28,1,C,0
685,D,37,1,C,1
686,A,25,1,C,0
687,D,4,0,A,0
688,C,1,1,C,0
689,B,14,0,A,0
690,B,55,0,B,1
691,D,15,0,C,0
692,A,44,0,A,1
693,C,43,0,C,1
694,C,23,1,C,0
695,B,25,0,A,0
696,A,18,1,A,0
697,B,16,1,C,0
698,C,6,1,A,0
699,D,30,0,D,0
700,D,31,0,A,0
701,C,15,0,D,0
702,A,27,1,C,0
703,B,24,1,B,0
704,A,4,1,A,0
705,D,49,0,C,1
706,A,22,1,D,0
707,C,26,1,A,0
708,C,1,1,A,0
709,D,49,0,B,1
710,D,23,0,D,0
711,C,40,1,C,1
712,A,15,1,B,0
713,A,31,0,B,0
714,A,25,0,A,0
715,B,12,1,B,0
716,B,43,0,A,1
717,D,23,0,A,0
718,C,18,0,C,0
719,C,20,0,C,0
720,C,58,1,D,1
721,A,18,0,C,0
722,D,35,0,C,1
723,D,55,1,A,1
724,C,52,1,D,1
725,B,5,1,C,0
726,B,55,1,D,1
727,C,52,1,B,1
728,B,10,1,A,0
729,B,23,1,D,0
730,C,28,1,D,0
731,D,24,0,C,0
732,A,41,1,A,1
733,A,35,0,D,1
734,B,37,1,A,1
735,C,17,0,A,0
736,B,2,0,D,0
737,C,38,1,A,1
738,B,5,1,D,0
739,D,6,1,B,0
740,C,4,0,D,0
741,B,20,1,A,0
742,A,35,1,C,1
743,C,49,0,B,1
744,B,45,1,A,1
745,D,32,1,A,1
746,A,2,0,B,0
747,D,7,0,C,0
748,C,16,0,B,0
749,B,2,0,A,0
750,C,33,0,C,1
751,D,18,0,D,0
752,C,25,0,A,0
753,C,5,0,D,0
754,D,13,0,B,0
755,B,22,0,C,0
756,B,7,0,B,0
757,D,52,1,B,1
758,A,14,0,A,0
759,B,32,1,B,1
760,C,8,1,B,0
761,D,51,0,A,1
762,C,4,0,C,0
763,A,46,1,B,1
764,D,48,0,D,1
765,A,16,1,D,0
766,D,19,0,B,0
767,C,38,0,C,1
768,D,52,1,B,1
769,B,34,0,D,1
770,B,43,1,D,1
771,D,24,1,C,0
772,D,23,1,A,0
773,C,38,1,C,1
774,B,13,0,C,0
775,C,28,1,B,0
776,A,31,1,A,1
777,C,44,1,D,1
778,B,35,1,C,1
779,B,10,0,C,0
780,C,2,0,D,0
781,D,27,0,B,0
782,B,34,1,A,1
783,B,8,0,A,0
784,D,55,1,A,1
785,B,17,1,C,0
786,D,27,1,C,0
787,D,42,1,C,1
788,D,58,0,D,1
789,C,24,0,C,0
790,D,34,0,B,1
791,D,58,1,C,1
792,B,50,1,C,1
793,C,9,1,A,0
794,D,11,1,A,0
795,C,22,0,B,0
796,D,10,1,B,0
797,A,23,0,C,0
798,A,51,1,A,1
799,B,44,1,B,1
800,A,21,0,A,0
